DISCIPLINE,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367,Action Air
CHAPTER,a4ce27e1-b12c-489b-a590-84c51e8c7aba,Course Design,1,The following general principles of course design list the criteria~ responsibilities and restrictions governing Course Designers as the architects of the sport of IPSC shooting. ,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
CHAPTER,673bc2a3-befe-40dc-a2ee-81b5dd724b92,Range and Course Construction,2,The following general regulations of course construction list the criteria~ responsibilities and restrictions applicable to courses of fire in IPSC matches. Course Designers~ host organizations and officials are governed by these regulations. ,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
CHAPTER,21331621-a6a6-4203-b900-9df8d622a62d,Course Information,3,,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
CHAPTER,6bc8fd9f-4e68-4d76-a6d9-2ee412d57cdd,Range Equipment,4,,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
CHAPTER,b01c4f86-56b6-4bf1-b880-2c5a4ae910ba,Competitor Equipment,5,,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
CHAPTER,edcbd707-b478-415e-9360-d230212f5c81,Match Structure,6,,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
CHAPTER,60f6aa81-b445-4ae5-b8d7-391c60b365bc,Match Management,7,,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
CHAPTER,f4eb2420-3749-4b85-a1fd-9ef20e5cced3,The Course of Fire,8,,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
CHAPTER,8ce40c2f-1c35-4fad-a937-f6588349e242,Scoring,9,,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
CHAPTER,f5a850a9-27d5-47e3-b403-66b346e50b7a,Penalties and Disqualifications,10,,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
CHAPTER,6920ae54-0fc1-4a8b-8968-653ab455fe43,Arbitration and Interpretation of Rules,11,,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
CHAPTER,7957f72a-606a-414a-8709-be578983f0ae,Miscellaneous Matters,12,,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,331ac0bf-9b0a-4038-b3dc-fe59cc5918b5,General Principles,1.1,,a4ce27e1-b12c-489b-a590-84c51e8c7aba,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,ff554ec9-904b-49f1-8783-41377f993011,Types of Courses,1.2,,a4ce27e1-b12c-489b-a590-84c51e8c7aba,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,3f19196f-c46f-46e2-8e72-da286ef9f9f5,IPSC Sanctioning,1.3,,a4ce27e1-b12c-489b-a590-84c51e8c7aba,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,f5d66064-bc36-481b-b809-1cef06d2a5ba,General Regulations,2.1,,673bc2a3-befe-40dc-a2ee-81b5dd724b92,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,41835b07-43eb-48a5-a7e2-54da59a6c5e5,Course Construction Criteria,2.2,,673bc2a3-befe-40dc-a2ee-81b5dd724b92,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,2dbdaff1-5f00-4b93-8111-cc75d1e0724e,Modifications to Course Construction,2.3,,673bc2a3-befe-40dc-a2ee-81b5dd724b92,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,4e9e470f-d04b-464a-a2e9-d5e02d1b08dc,Safety Areas,2.4,,673bc2a3-befe-40dc-a2ee-81b5dd724b92,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,6825d407-4675-40f5-a359-8ce996b61481,Test Firing / Sighting-In Bay,2.5,,673bc2a3-befe-40dc-a2ee-81b5dd724b92,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,4f668e36-e7b7-4596-bbed-ef04a07785e3,Vendor Areas,2.6,,673bc2a3-befe-40dc-a2ee-81b5dd724b92,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,8677993d-f90e-4bb2-be24-89e0026b2486,Hygiene Areas,2.7,,673bc2a3-befe-40dc-a2ee-81b5dd724b92,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,a210ecf6-3985-41ff-9594-b783f0a9cd82,Magazine Charging Areas,2.8,,673bc2a3-befe-40dc-a2ee-81b5dd724b92,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,8fe5953b-7b10-488d-a6ed-0556a0df82b0,General Regulations,3.1,,21331621-a6a6-4203-b900-9df8d622a62d,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,a9641c5f-42cc-4ce7-bd6f-9871ce408bd9,Written Stage Briefings,3.2,,21331621-a6a6-4203-b900-9df8d622a62d,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,00cca29c-7fcd-4b11-833f-75c74fc9690e,Local~ Regional and National Rules,3.3,,21331621-a6a6-4203-b900-9df8d622a62d,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
