DISCIPLINE,9a343f59-e142-4d31-b0d2-c6be6925a106,ActionAir
CHAPTER,8563f3dd-787b-42e6-ae77-e3ee2dbd93ef,Course Design,1,The following general principles of course design list the criteria~ responsibilities and restrictions governing Course Designers as the architects of the sport of IPSC shooting. ,9a343f59-e142-4d31-b0d2-c6be6925a106
CHAPTER,02ef8e05-c41b-4012-b579-713b87e198ba,Range and Course Construction,2,The following general regulations of course construction list the criteria~ responsibilities and restrictions applicable to courses of fire in IPSC matches. Course Designers~ host organizations and officials are governed by these regulations. ,9a343f59-e142-4d31-b0d2-c6be6925a106
CHAPTER,8af0bcd7-f99e-4856-9e50-f3ec7ec296ed,Course Information,3,,9a343f59-e142-4d31-b0d2-c6be6925a106
CHAPTER,91e69ce1-bc0d-49be-8f26-48fbe81a584e,Range Equipment,4,,9a343f59-e142-4d31-b0d2-c6be6925a106
CHAPTER,687755c6-7542-4ec3-9cec-273f1e645f1d,Competitor Equipment,5,,9a343f59-e142-4d31-b0d2-c6be6925a106
CHAPTER,0c9fe70a-275c-415d-abdb-bc4ff0a81096,Match Structure,6,,9a343f59-e142-4d31-b0d2-c6be6925a106
CHAPTER,38c96a8a-89bf-453d-8cca-a12fc28c11d2,Match Management,7,,9a343f59-e142-4d31-b0d2-c6be6925a106
CHAPTER,feb1fc5f-e176-4be6-8280-183cb3752e62,The Course of Fire,8,,9a343f59-e142-4d31-b0d2-c6be6925a106
CHAPTER,88db1f00-ca62-4449-89d4-bf2f291cdc34,Scoring,9,,9a343f59-e142-4d31-b0d2-c6be6925a106
CHAPTER,5cdb76ee-e7cb-4667-addf-71f34186a872,Penalties and Disqualifications,10,,9a343f59-e142-4d31-b0d2-c6be6925a106
CHAPTER,fe536705-5d38-4e99-b75e-f5e9638efb5d,Arbitration and Interpretation of Rules,11,,9a343f59-e142-4d31-b0d2-c6be6925a106
CHAPTER,01b3528a-7163-4745-ab14-654f99b672a7,Miscellaneous Matters,12,,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,a422f5b6-7b82-48dd-859c-21d2f907d53e,General Principles,1.1,,8563f3dd-787b-42e6-ae77-e3ee2dbd93ef,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,97a9d37d-6b75-43b4-b3bb-e97d4fc98786,Types of Courses,1.2,IPSC matches may contain the following types of courses of fire: ,8563f3dd-787b-42e6-ae77-e3ee2dbd93ef,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,07df4d43-92a6-4950-968b-a5026c1d9e35,IPSC Sanctioning,1.3,,8563f3dd-787b-42e6-ae77-e3ee2dbd93ef,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,f4109607-cc06-405a-815d-3414f5ac3ee7,General Regulations,2.1,,02ef8e05-c41b-4012-b579-713b87e198ba,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,46d2677c-5a1f-4011-aa11-cfc3ae1a4d07,Course Construction Criteria,2.2,During the construction of a course of fire~ a variety of physical barriers may be used to restrict competitor movement and to provide additional competitive challenges as follows: ,02ef8e05-c41b-4012-b579-713b87e198ba,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,4c566f89-c862-4916-87f8-c310b3064052,Modifications to Course Construction,2.3,,02ef8e05-c41b-4012-b579-713b87e198ba,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,70817018-7a3d-434f-80f0-85be10237280,Safety Areas,2.4,,02ef8e05-c41b-4012-b579-713b87e198ba,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,74074498-174e-4be2-a8da-882e830634f7,Test Firing / Sighting-In Bay,2.5,,02ef8e05-c41b-4012-b579-713b87e198ba,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,f4711029-a121-4c1b-be9f-a1cf8a08ada2,Vendor Areas,2.6,,02ef8e05-c41b-4012-b579-713b87e198ba,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,a5ff079e-b203-4cc4-8e0b-aee92219f4d8,Hygiene Areas,2.7,,02ef8e05-c41b-4012-b579-713b87e198ba,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,162ed8dc-cedf-4763-948a-91d335210ee5,Magazine Charging Areas,2.8,,02ef8e05-c41b-4012-b579-713b87e198ba,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,ba0ece08-d189-4f70-bd75-8be363c63986,General Regulations,3.1,The competitor is always responsible to safely fulfill the requirements of a course of fire but can only reasonably be expected to do so after verbally or physically receiving the written stage briefing~ which must adequately explain the requirements to the competitors. Course information can be broadly divided into the following types: ,8af0bcd7-f99e-4856-9e50-f3ec7ec296ed,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,5149c9a0-0abc-4eb9-8493-5bf60c16b772,Written Stage Briefings,3.2,,8af0bcd7-f99e-4856-9e50-f3ec7ec296ed,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,22779fff-ea7f-423a-9824-00f21d300a4d,Local~ Regional and National Rules,3.3,,8af0bcd7-f99e-4856-9e50-f3ec7ec296ed,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,a3e2fa35-ccec-46d2-b501-2f55cd230c3a,Targets � General Principles,4.1,,91e69ce1-bc0d-49be-8f26-48fbe81a584e,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,631d5836-073a-45ce-a257-6cf418240c79,IPSC Approved Action Air Targets � Paper,4.2,,91e69ce1-bc0d-49be-8f26-48fbe81a584e,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,8eb7f6fd-42e3-49f1-b3c9-51137546bff4,IPSC Approved Action Air Targets � Rigid,4.3,,91e69ce1-bc0d-49be-8f26-48fbe81a584e,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,9e0f5460-ffd3-41f3-98e4-6596305a1e48,Frangible Targets,4.4,,91e69ce1-bc0d-49be-8f26-48fbe81a584e,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,b5e1ce9c-2ff3-462e-95c2-47183acaea98,Rearrangement of Range Equipment or Surface,4.5,,91e69ce1-bc0d-49be-8f26-48fbe81a584e,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,cb1067fd-0c5e-489f-92e5-f78396a3852b,Range Equipment Failure and Other Issues,4.6,,91e69ce1-bc0d-49be-8f26-48fbe81a584e,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,6af61441-0e38-4a44-9dea-1781894274e5,Firearms,5.1,,687755c6-7542-4ec3-9cec-273f1e645f1d,9a343f59-e142-4d31-b0d2-c6be6925a106
SECTION,c0b68834-9f4b-4510-8cf0-a35b561d1fe1,Holster and Other Competitor Equipment,5.2,,687755c6-7542-4ec3-9cec-273f1e645f1d,9a343f59-e142-4d31-b0d2-c6be6925a106
