DISCIPLINE,00000000-0000-0000-0000-000000000000,Combined
CHAPTER,d7dff36f-7201-4d37-a4d6-b62e07fab910,Course Design,1,The following general principles of course design list the criteria~ responsibilities and restrictions governing Course Designers as the architects of the sport of IPSC shooting. ,00000000-0000-0000-0000-000000000000
CHAPTER,e925c9bc-bf05-40b4-b0a3-e563c243116d,Range and Course Construction,2,The following general regulations of course construction list the criteria~ responsibilities and restrictions applicable to courses of fire in IPSC matches. Course Designers~ host organizations and officials are governed by these regulations. ,00000000-0000-0000-0000-000000000000
CHAPTER,8d19825f-8c92-4012-af72-6c805ead4fcb,Course Information,3,,00000000-0000-0000-0000-000000000000
CHAPTER,c5232c99-1f50-45be-892d-774150ca4fb2,Range Equipment,4,,00000000-0000-0000-0000-000000000000
CHAPTER,85e99bbf-42f9-4e23-87f1-e0ccbc4ee0a6,Competitor Equipment,5,,00000000-0000-0000-0000-000000000000
CHAPTER,409eb8b2-7f9c-4ca2-b171-5b43b801881a,Match Structure,6,,00000000-0000-0000-0000-000000000000
CHAPTER,0860c5e2-d755-4c77-8866-9b31f15e1998,Match Management,7,,00000000-0000-0000-0000-000000000000
CHAPTER,6b6cdf89-79d9-4307-8e41-8e4673d4ef8b,The Course of Fire,8,,00000000-0000-0000-0000-000000000000
CHAPTER,b5ae926f-e6b9-4e48-8edd-9a977b4279c8,Scoring,9,,00000000-0000-0000-0000-000000000000
CHAPTER,08e8bb50-d456-420f-af24-34c5b92b10a6,Penalties and Disqualifications,10,,00000000-0000-0000-0000-000000000000
CHAPTER,74f7cf55-6892-45b2-829c-7aab1ed33225,Arbitration and Interpretation of Rules,11,,00000000-0000-0000-0000-000000000000
CHAPTER,1cdda85a-5f33-40b7-bc6a-5641ee46ab02,Miscellaneous Matters,12,,00000000-0000-0000-0000-000000000000
SECTION,8822c317-73ab-4845-8208-385e36b3182b,General Principles,1.1,,d7dff36f-7201-4d37-a4d6-b62e07fab910,00000000-0000-0000-0000-000000000000
SECTION,f891c77d-05c2-4059-ac61-9bbbcf25cdee,Types of Courses,1.2,IPSC matches may contain the following types of courses of fire: ,d7dff36f-7201-4d37-a4d6-b62e07fab910,00000000-0000-0000-0000-000000000000
SECTION,dc1a4b5e-f7ee-4129-8b9e-cc67bf2e484a,IPSC Sanctioning,1.3,,d7dff36f-7201-4d37-a4d6-b62e07fab910,00000000-0000-0000-0000-000000000000
SECTION,32054e11-8a61-41dd-b95b-76ada0d1e236,General Regulations,2.1,,e925c9bc-bf05-40b4-b0a3-e563c243116d,00000000-0000-0000-0000-000000000000
SECTION,24a23d5b-e5ed-4534-a4ee-58dc1ff9638b,Course Construction Criteria,2.2,During the construction of a course of fire~ a variety of physical barriers may be used to restrict competitor movement and to provide additional competitive challenges as follows: ,e925c9bc-bf05-40b4-b0a3-e563c243116d,00000000-0000-0000-0000-000000000000
SECTION,596b816e-3ef1-405e-a3f1-21b60f610b78,Modifications to Course Construction,2.3,,e925c9bc-bf05-40b4-b0a3-e563c243116d,00000000-0000-0000-0000-000000000000
SECTION,e493e413-f0fb-4ad0-8f90-33cbde20537b,Safety Areas,2.4,,e925c9bc-bf05-40b4-b0a3-e563c243116d,00000000-0000-0000-0000-000000000000
SECTION,aa6f90ba-0e3b-48d4-aba0-c8b9bb79a314,Test Firing / Sighting-In Bay,2.5,,e925c9bc-bf05-40b4-b0a3-e563c243116d,00000000-0000-0000-0000-000000000000
SECTION,43c18ffb-2d0e-4aaa-af89-22829e0be113,Vendor Areas,2.6,,e925c9bc-bf05-40b4-b0a3-e563c243116d,00000000-0000-0000-0000-000000000000
SECTION,c26f1274-798b-4594-bba9-b4de04466f70,Hygiene Areas,2.7,,e925c9bc-bf05-40b4-b0a3-e563c243116d,00000000-0000-0000-0000-000000000000
SECTION,3a71e259-9471-4386-90ad-de38c21c599c,Magazine Charging Areas (ActionAir only),2.8,,e925c9bc-bf05-40b4-b0a3-e563c243116d,00000000-0000-0000-0000-000000000000
SECTION,a9695b03-f904-4af6-a17b-d3e9e258a865,General Regulations,3.1,The competitor is always responsible to safely fulfill the requirements of a course of fire but can only reasonably be expected to do so after verbally or physically receiving the written stage briefing~ which must adequately explain the requirements to the competitors. Course information can be broadly divided into the following types: ,8d19825f-8c92-4012-af72-6c805ead4fcb,00000000-0000-0000-0000-000000000000
SECTION,2fe9d362-5910-46db-af83-ccc920ecc5ce,Written Stage Briefings,3.2,,8d19825f-8c92-4012-af72-6c805ead4fcb,00000000-0000-0000-0000-000000000000
SECTION,33a85e51-2d08-46cd-9949-e68290ecfb97,Local~ Regional and National Rules,3.3,,8d19825f-8c92-4012-af72-6c805ead4fcb,00000000-0000-0000-0000-000000000000
SECTION,a02f962f-824b-40d2-87e1-c5a4c40fd4e7,Targets � General Principles,4.1,,c5232c99-1f50-45be-892d-774150ca4fb2,00000000-0000-0000-0000-000000000000
SECTION,f5ca1fc4-6843-4aad-be52-abbf90a8bccc,IPSC Approved Action Air Targets � Paper (ActionAir only),4.2,,c5232c99-1f50-45be-892d-774150ca4fb2,00000000-0000-0000-0000-000000000000
SECTION,73af9781-8ff4-4a76-a6f4-e493c6cf3f45,IPSC Approved Action Air Targets � Rigid (ActionAir only),4.3,,c5232c99-1f50-45be-892d-774150ca4fb2,00000000-0000-0000-0000-000000000000
SECTION,6f4c2d74-0501-4b76-ad2c-363fe7efd702,Frangible Targets (ActionAir | Rifle | MiniRifle | PCC only),4.4,,c5232c99-1f50-45be-892d-774150ca4fb2,00000000-0000-0000-0000-000000000000
SECTION,33f783e3-ef03-43d4-8308-b446b3844789,Rearrangement of Range Equipment or Surface,4.5,,c5232c99-1f50-45be-892d-774150ca4fb2,00000000-0000-0000-0000-000000000000
SECTION,a3e361ce-baec-419f-ab16-fd948546b1a0,Range Equipment Failure and Other Issues,4.6,,c5232c99-1f50-45be-892d-774150ca4fb2,00000000-0000-0000-0000-000000000000
SECTION,28f01516-979b-45f7-82d1-25777228a677,IPSC Approved Handgun Targets � Paper (Handgun only),4.2,,c5232c99-1f50-45be-892d-774150ca4fb2,00000000-0000-0000-0000-000000000000
SECTION,a70ced09-7ea6-4ded-a3a2-c05a8053d3ac,IPSC Approved Handgun Targets � Metal (Handgun only),4.3,,c5232c99-1f50-45be-892d-774150ca4fb2,00000000-0000-0000-0000-000000000000
SECTION,1ad56ca2-b9ab-4bfd-885b-ef9bfda21802,Frangible and Synthetic Targets (Handgun | Shotgun only),4.4,,c5232c99-1f50-45be-892d-774150ca4fb2,00000000-0000-0000-0000-000000000000
SECTION,d0936856-a291-407c-8742-cbf097b43ddb,IPSC Approved Shotgun Targets � Paper (Shotgun only),4.2,,c5232c99-1f50-45be-892d-774150ca4fb2,00000000-0000-0000-0000-000000000000
