DISCIPLINE,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83,Handgun
CHAPTER,d68b7723-d685-40d7-9b72-ecb1c638db9c,Course Design,1,The following general principles of course design list the criteria~ responsibilities and restrictions governing Course Designers as the architects of the sport of IPSC shooting. ,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
CHAPTER,5bb699ac-dac3-4aba-a4f9-cba4f642c1c5,Range and Course Construction,2,The following general regulations of course construction list the criteria~ responsibilities and restrictions applicable to courses of fire in IPSC matches. Course Designers~ host organizations and officials are governed by these regulations. ,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
CHAPTER,0dd0ecee-bb8c-494e-8720-74d5be5921a7,Course Information,3,,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
CHAPTER,3da79bf5-68ba-45f3-b983-a1274c2e59fe,Range Equipment,4,,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
CHAPTER,35bd0461-9cb3-4b77-94de-67f7f56a87af,Competitor Equipment,5,,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
CHAPTER,e7531529-0ec1-4b51-b9cc-66ec25496dbe,Match Structure,6,,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
CHAPTER,877e64c4-14e6-4844-97b3-3da3437f6bd2,Match Management,7,,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
CHAPTER,eae65a73-4038-49eb-ba91-c51fd9ca590a,The Course of Fire,8,,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
CHAPTER,e5d8a70a-cd17-432e-aa44-bbe4f91c526d,Scoring,9,,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
CHAPTER,51ee17e9-7f84-443a-9bf4-fdc4bd18f311,Penalties and Disqualifications,10,,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
CHAPTER,1c2d23c3-3dc5-455d-823e-01fafcc01921,Arbitration and Interpretation of Rules,11,,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
CHAPTER,a50bd0e4-4327-4cf0-b319-2f79c1224d74,Miscellaneous Matters,12,,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,a0124422-9567-467b-adbc-a80f2baf81a1,General Principles,1.1,,d68b7723-d685-40d7-9b72-ecb1c638db9c,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,9efb48f2-d4c9-4551-9450-3bd38e0eaad1,Types of Courses,1.2,IPSC matches may contain the following types of courses of fire: ,d68b7723-d685-40d7-9b72-ecb1c638db9c,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,2e9aba86-550e-493e-b4bc-2c3d7d87c8da,IPSC Sanctioning,1.3,,d68b7723-d685-40d7-9b72-ecb1c638db9c,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,27e07d41-8fc6-45fb-92c9-c322fbc8a8ab,General Regulations,2.1,,5bb699ac-dac3-4aba-a4f9-cba4f642c1c5,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,5632bdea-8459-4515-b78a-2c4457e8c92d,Course Construction Criteria,2.2,During the construction of a course of fire~ a variety of physical barriers may be used to restrict competitor movement and to provide additional competitive challenges as follows: ,5bb699ac-dac3-4aba-a4f9-cba4f642c1c5,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,eb94c350-a023-4335-a027-698b23959d62,Modifications to Course Construction,2.3,,5bb699ac-dac3-4aba-a4f9-cba4f642c1c5,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,133e9eca-f057-4a8e-9cdf-2d72713d66e2,Safety Areas,2.4,,5bb699ac-dac3-4aba-a4f9-cba4f642c1c5,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,c3e25d65-1903-4c6b-b052-b64227defd33,Test Firing / Sighting-In Bay,2.5,,5bb699ac-dac3-4aba-a4f9-cba4f642c1c5,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,59e76ea7-be61-442b-9882-5333897fa255,Vendor Areas,2.6,,5bb699ac-dac3-4aba-a4f9-cba4f642c1c5,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
SECTION,3835a3ae-2fb4-4037-ac66-45bb8115f55e,Hygiene Areas,2.7,,5bb699ac-dac3-4aba-a4f9-cba4f642c1c5,00f2aeb5-3aa0-45cd-b361-6e2e340b6e83
