DISCIPLINE,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e,Mini-Rifle
CHAPTER,58be6713-9388-434a-ae99-9876200e076d,Course Design,1,The following general principles of course design list the criteria~ responsibilities and restrictions governing Course Designers as the architects of the sport of IPSC shooting. ,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
CHAPTER,5125dec7-11cd-48cb-8bc7-e23f678e4b48,Range and Course Construction,2,The following general regulations of course construction list the criteria~ responsibilities and restrictions applicable to courses of fire in IPSC matches. Course Designers~ host organizations and officials are governed by these regulations. ,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
CHAPTER,db1a6968-0f96-43f2-904e-00dfd0c59b01,Course Information,3,,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
CHAPTER,8bead3df-e0e2-48e7-879f-21029df44c52,Range Equipment,4,,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
CHAPTER,f1b89551-b319-420c-af87-6d6db011ed53,Competitor Equipment,5,,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
CHAPTER,dfc41363-20ba-4033-a684-3ffc8b80c25b,Match Structure,6,,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
CHAPTER,1a76a911-a20f-4044-8256-f039c9ce4af0,Match Management,7,,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
CHAPTER,23e95a68-5b32-41d2-b814-52a482fa0129,The Course of Fire,8,,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
CHAPTER,a87d32f5-8af1-4806-86d9-c7cbfdbb66c0,Scoring,9,,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
CHAPTER,19fcb917-3b46-4fc3-880b-6e6893fc93c8,Penalties and Disqualifications,10,,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
CHAPTER,571adeea-ab8a-4ef9-b1bf-f7070ca4fb42,Arbitration and Interpretation of Rules,11,,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
CHAPTER,f59bac33-30ce-472a-83d0-b5c79b371135,Miscellaneous Matters,12,,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,5b19f600-2c86-4e6c-ba79-5b6df3fc546d,General Principles,1.1,,58be6713-9388-434a-ae99-9876200e076d,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,03d79fa2-6eea-4c48-869c-a5d5554c055c,Types of Courses,1.2,,58be6713-9388-434a-ae99-9876200e076d,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,094582ad-f883-43da-a362-a0d495843d80,IPSC Sanctioning,1.3,,58be6713-9388-434a-ae99-9876200e076d,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,46184129-98f7-43f1-839a-ab620d96a90f,General Regulations,2.1,,5125dec7-11cd-48cb-8bc7-e23f678e4b48,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,13373521-8bca-4bc2-a839-0737029ae1e0,Course Construction Criteria,2.2,,5125dec7-11cd-48cb-8bc7-e23f678e4b48,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,ad0c5986-600a-495a-a76b-1a91ad844476,Modifications to Course Construction,2.3,,5125dec7-11cd-48cb-8bc7-e23f678e4b48,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,a30a92ff-de9c-40c1-84d7-fbd35cecf9f7,Safety Areas,2.4,,5125dec7-11cd-48cb-8bc7-e23f678e4b48,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,41678645-a4e9-4369-9126-1aaa2750a564,Test Firing / Sighting-In Bay,2.5,,5125dec7-11cd-48cb-8bc7-e23f678e4b48,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,a2cfa2aa-6701-4e9d-9603-7d2564ad7077,Vendor Areas,2.6,,5125dec7-11cd-48cb-8bc7-e23f678e4b48,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,527aff10-b212-481f-aaf2-8d2407b72413,Hygiene Areas,2.7,,5125dec7-11cd-48cb-8bc7-e23f678e4b48,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
