1a17da71-a261-4df4-bf5e-ca9fa12d673d,Aftermarket,Items not manufactured by the OFM~ and/or bearing identifying marks of a different OFM. 
09cf2912-47d1-4f16-a63f-1fbae762934e,Aim / Aiming,Aligning the barrel of a firearm at 
cdddcaa2-daf8-41cc-808f-5696b0f2e060,Attempt at (COF),The period from issuance of the Start Signal to when the competitor indicates that he has finished shooting~ in response to Rule 8.3.6. 
64484494-da50-4088-a6cf-745713a2cc75,Barricade Stop ,A device fitted to a firearm~ the primary purpose of which is to increase stability on a barricade or another prop while firing shots. 
797c1bf8-1778-4078-96e3-3977f9635230,Berm ,A raised structure of sand~ soil or other materials used to contain bullets and/or to separate one shooting bay and/or COF from another. 
6f1aef24-4fe1-4312-9698-fbb5761018f6,Bullet ,The projectile in a round intended to strike a target. 
45727f65-9c20-4a09-ac0d-d4c9adf35092,Caliber ,The diameter of a bullet measured in millimeters (or thousandths of an inch). 
e6b51de1-4c5f-4415-8db1-f50555cdee9a,Cartridge case ,The main body of a round~ which contains all component parts. 
485556d3-e5ac-4548-82be-293535bd13a1,Chamber Safety Flag ,A brightly colored device~ no part of which resembles a round or any part thereof. The flag must be incapable of being inserted into a firearm which has a loaded chamber and must~ while fitted~ prevent a round from being inserted into the chamber. The flag must have an integral tab or ribbon clearly protruding from the firearm. 
61b9d361-24db-4ab8-afb4-15a64d3a8948,Compensator,A device fitted to the muzzle end of a barrel to counter muzzle rise (usually by diverting away escaping gasses). 
1cb3b3b4-36cc-4000-883a-089749ee72cd,Detonation ,Ignition of the primer of a round~ other than by action of a firing pin~ where the bullet does not pass through the barrel (e.g. when the action of a firearm is being manually retracted~ when a round is dropped). 
2b101315-428f-4be1-9e23-b6e2b84203a5,Discharge,See Shot. 
c2f9b282-e665-4600-bb60-eaeb125552b9,Downrange,The general area of a stage~ shooting bay or range~ where the muzzle of a firearm may be safely pointed during a course of fire and/or where bullets are intended or are likely to impact. 
