DISCIPLINE,0eb70609-642f-48f7-86e5-21b08cb298f6,MiniRifle
CHAPTER,b7c0e2a7-77ea-4e56-b36c-30b6744b0c47,Course Design,1,The following general principles of course design list the criteria~ responsibilities and restrictions governing Course Designers as the architects of the sport of IPSC shooting. ,0eb70609-642f-48f7-86e5-21b08cb298f6
CHAPTER,262b40b8-8380-41c3-a05c-5216a559e446,Range and Course Construction,2,The following general regulations of course construction list the criteria~ responsibilities and restrictions applicable to courses of fire in IPSC matches. Course Designers~ host organizations and officials are governed by these regulations. ,0eb70609-642f-48f7-86e5-21b08cb298f6
CHAPTER,1007507d-7922-447f-bc10-6458a0b53af3,Course Information,3,,0eb70609-642f-48f7-86e5-21b08cb298f6
CHAPTER,f7932be5-cd2f-4ebc-bbfa-4471bf022bb7,Range Equipment,4,,0eb70609-642f-48f7-86e5-21b08cb298f6
CHAPTER,8c1ae282-3903-468c-979e-65384c02c5ae,Competitor Equipment,5,,0eb70609-642f-48f7-86e5-21b08cb298f6
CHAPTER,45194104-bd6d-4687-a816-9dfb6779dedc,Match Structure,6,,0eb70609-642f-48f7-86e5-21b08cb298f6
CHAPTER,ebb31238-ecbf-484d-8a8b-8645c8ab3935,Match Management,7,,0eb70609-642f-48f7-86e5-21b08cb298f6
CHAPTER,36c09f80-b1a3-4e2c-98e9-baeb820294d8,The Course of Fire,8,,0eb70609-642f-48f7-86e5-21b08cb298f6
CHAPTER,bd07b023-ae09-4263-9926-c5e9d4a4191b,Scoring,9,,0eb70609-642f-48f7-86e5-21b08cb298f6
CHAPTER,a3eb2e4f-92ac-457e-a1a8-22665710b575,Penalties and Disqualifications,10,,0eb70609-642f-48f7-86e5-21b08cb298f6
CHAPTER,ea05aa00-2684-4e02-95df-5d6a3d1bd9e6,Arbitration and Interpretation of Rules,11,,0eb70609-642f-48f7-86e5-21b08cb298f6
CHAPTER,c4540d48-71cb-4623-abaa-61a2f1786d86,Miscellaneous Matters,12,,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,a5cc2532-4539-459f-92bc-dbfbd6e4bafd,General Principles,1.1,,b7c0e2a7-77ea-4e56-b36c-30b6744b0c47,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,c99e5847-4f4c-4b9d-adb2-e741775d476d,Types of Courses,1.2,IPSC matches may contain the following types of courses of fire: ,b7c0e2a7-77ea-4e56-b36c-30b6744b0c47,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,47e8dfa3-b151-47d1-9f82-c66e7650f8e2,IPSC Sanctioning,1.3,,b7c0e2a7-77ea-4e56-b36c-30b6744b0c47,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,bef7d03d-e167-40a6-8f92-e3ec802fa1c9,General Regulations,2.1,,262b40b8-8380-41c3-a05c-5216a559e446,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,f5e62f23-7e43-479a-974c-1881d02db887,Course Construction Criteria,2.2,During the construction of a course of fire~ a variety of physical barriers may be used to restrict competitor movement and to provide additional competitive challenges as follows: ,262b40b8-8380-41c3-a05c-5216a559e446,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,3109853a-ec1c-4eed-bdf5-64e90df78a53,Modifications to Course Construction,2.3,,262b40b8-8380-41c3-a05c-5216a559e446,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,6ae87aed-8b32-43ed-8a47-8649ec656c80,Safety Areas,2.4,,262b40b8-8380-41c3-a05c-5216a559e446,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,4fefa4d7-3eb5-439d-9e50-4bd0967b2d79,Test Firing / Sighting-In Bay,2.5,,262b40b8-8380-41c3-a05c-5216a559e446,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,05977e29-bcaf-43d3-924c-b690752090d9,Vendor Areas,2.6,,262b40b8-8380-41c3-a05c-5216a559e446,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,2f1093c7-6e47-4d59-b57a-addbcf7ba8fb,Hygiene Areas,2.7,,262b40b8-8380-41c3-a05c-5216a559e446,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,bc1b5aef-a1a1-4661-ad05-1f150470333b,General Regulations,3.1,The competitor is always responsible to safely fulfill the requirements of a course of fire but can only reasonably be expected to do so after verbally or physically receiving the written stage briefing~ which must adequately explain the requirements to the competitors. Course information can be broadly divided into the following types: ,1007507d-7922-447f-bc10-6458a0b53af3,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,717061e6-de88-4f79-9e12-364e5dd07bf3,Written Stage Briefings,3.2,,1007507d-7922-447f-bc10-6458a0b53af3,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,ec866d1a-f722-413f-92b8-e7a02f47ce95,Local~ Regional and National Rules,3.3,,1007507d-7922-447f-bc10-6458a0b53af3,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,f8fcc479-3c99-4880-ab7e-9d8a938f9951,Targets � General Principles,4.1,,f7932be5-cd2f-4ebc-bbfa-4471bf022bb7,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,3f89c180-68ca-44cf-a74a-3c7636a4805b,IPSC Approved Rifle Targets � Paper,4.2,,f7932be5-cd2f-4ebc-bbfa-4471bf022bb7,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,bc19cda7-7a8c-44b0-95e9-a36f901333c2,IPSC Approved Rifle Targets � Metal,4.3,,f7932be5-cd2f-4ebc-bbfa-4471bf022bb7,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,c310d6a7-b4b0-42d4-af07-e43d0308c461,Frangible Targets,4.4,,f7932be5-cd2f-4ebc-bbfa-4471bf022bb7,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,02e1534c-ee64-49df-92ba-adb27bc0598f,Rearrangement of Range Equipment or Surface,4.5,,f7932be5-cd2f-4ebc-bbfa-4471bf022bb7,0eb70609-642f-48f7-86e5-21b08cb298f6
