DISCIPLINE,cdb32d12-3aa3-48cf-8c61-35e79ed20813,PCC
CHAPTER,c86d2fe7-2dfb-4565-807d-0574efbfc37f,Course Design,1,The following general principles of course design list the criteria~ responsibilities and restrictions governing Course Designers as the architects of the sport of IPSC shooting. ,cdb32d12-3aa3-48cf-8c61-35e79ed20813
CHAPTER,49e6de35-6d75-49fa-afd9-4c18e4f2172c,Range and Course Construction,2,The following general regulations of course construction list the criteria~ responsibilities and restrictions applicable to courses of fire in IPSC matches. Course Designers~ host organizations and officials are governed by these regulations. ,cdb32d12-3aa3-48cf-8c61-35e79ed20813
CHAPTER,a79c0382-d014-4ba4-8f21-dea979f9e067,Course Information,3,,cdb32d12-3aa3-48cf-8c61-35e79ed20813
CHAPTER,9071bf64-3560-48d5-a8f6-ce0831e88afc,Range Equipment,4,,cdb32d12-3aa3-48cf-8c61-35e79ed20813
CHAPTER,5e0cda95-8451-400b-99f0-5cd03979ce93,Competitor Equipment,5,,cdb32d12-3aa3-48cf-8c61-35e79ed20813
CHAPTER,59271ca0-0719-4d94-9252-28c5b053bacb,Match Structure,6,,cdb32d12-3aa3-48cf-8c61-35e79ed20813
CHAPTER,a60f3827-c3c8-4018-8059-e45221c0a1a5,Match Management,7,,cdb32d12-3aa3-48cf-8c61-35e79ed20813
CHAPTER,5b702d6a-0ad4-4c45-8c35-8dde21080dd6,The Course of Fire,8,,cdb32d12-3aa3-48cf-8c61-35e79ed20813
CHAPTER,5231d906-bc73-452c-a752-0a5a7f168391,Scoring,9,,cdb32d12-3aa3-48cf-8c61-35e79ed20813
CHAPTER,e436aa69-4e8b-4c95-996c-2b13d2f07730,Penalties and Disqualifications,10,,cdb32d12-3aa3-48cf-8c61-35e79ed20813
CHAPTER,904a9cb0-c18c-467d-9f25-e6e1c11239de,Arbitration and Interpretation of Rules,11,,cdb32d12-3aa3-48cf-8c61-35e79ed20813
CHAPTER,5de1ba9c-0a14-4e2f-a308-b9ed1af4a54a,Miscellaneous Matters,12,,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,aa5b0990-67fc-4aa2-a450-e53f4936567c,General Principles,1.1,,c86d2fe7-2dfb-4565-807d-0574efbfc37f,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,3eb15580-9555-4162-9da9-e53e4a677455,Types of Courses,1.2,IPSC matches may contain the following types of courses of fire: ,c86d2fe7-2dfb-4565-807d-0574efbfc37f,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,0f71fc9e-e0df-49af-8474-25b5e22d30a6,IPSC Sanctioning,1.3,,c86d2fe7-2dfb-4565-807d-0574efbfc37f,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,cd458791-969b-495b-8b39-b8e1dcbbaa48,General Regulations,2.1,,49e6de35-6d75-49fa-afd9-4c18e4f2172c,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,0d5e0ef3-8e88-4ec2-9ece-ff5ebc7661f6,Course Construction Criteria,2.2,During the construction of a course of fire~ a variety of physical barriers may be used to restrict competitor movement and to provide additional competitive challenges as follows: ,49e6de35-6d75-49fa-afd9-4c18e4f2172c,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,e5b2d7cc-3d69-43ba-8ef2-b72249368a60,Modifications to Course Construction,2.3,,49e6de35-6d75-49fa-afd9-4c18e4f2172c,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,4218b42c-583a-4017-b5ea-4f3824b328f2,Safety Areas,2.4,,49e6de35-6d75-49fa-afd9-4c18e4f2172c,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,cffb637f-8bf9-41ba-adfb-d33a187e9fb6,Test Firing / Sighting-In Bay,2.5,,49e6de35-6d75-49fa-afd9-4c18e4f2172c,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,1f3d1825-4800-4904-a8dd-a1a43686ad3b,Vendor Areas,2.6,,49e6de35-6d75-49fa-afd9-4c18e4f2172c,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,efa7c20e-d746-48a3-bc9d-1adef53e8a1c,Hygiene Areas,2.7,,49e6de35-6d75-49fa-afd9-4c18e4f2172c,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,635c8886-374e-4749-828a-aa7404d3bf14,General Regulations,3.1,The competitor is always responsible to safely fulfill the requirements of a course of fire but can only reasonably be expected to do so after verbally or physically receiving the written stage briefing~ which must adequately explain the requirements to the competitors. Course information can be broadly divided into the following types: ,a79c0382-d014-4ba4-8f21-dea979f9e067,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,db6d73ea-a640-41d6-95f0-0299aa3e1b18,Written Stage Briefings,3.2,,a79c0382-d014-4ba4-8f21-dea979f9e067,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,37eff340-a4c2-4816-9e13-ab3146790042,Local~ Regional and National Rules,3.3,,a79c0382-d014-4ba4-8f21-dea979f9e067,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,93f81e22-f49b-414a-9bc4-d263d149b29e,Targets � General Principles,4.1,,9071bf64-3560-48d5-a8f6-ce0831e88afc,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,78408ba9-86ad-49fa-bf1a-5498fe29a1fb,IPSC Approved Pistol Caliber Carbine Targets � Paper,4.2,,9071bf64-3560-48d5-a8f6-ce0831e88afc,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,218cd54d-2f80-4bbf-a6dc-94a940380ab7,IPSC Approved Pistol Caliber Carbine Targets � Metal,4.3,,9071bf64-3560-48d5-a8f6-ce0831e88afc,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,322ed4c6-bfd1-4e5a-9b5c-32215d6e2570,Frangible Targets,4.4,,9071bf64-3560-48d5-a8f6-ce0831e88afc,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,ae51fa90-09c5-4e59-8b5e-67107aa65aa3,Rearrangement of Range Equipment or Surface,4.5,,9071bf64-3560-48d5-a8f6-ce0831e88afc,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,36a6479d-d0a4-4bbe-b033-33dc2e99516c,Range Equipment Failure and Other Issues,4.6,,9071bf64-3560-48d5-a8f6-ce0831e88afc,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,867a213d-50f5-4cb8-883c-3cbed8d424f2,Firearms,5.1,,5e0cda95-8451-400b-99f0-5cd03979ce93,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,2f4a08e5-1622-438d-bd88-a9ad8e25f766,Carry and Storage and Competitor Equipment,5.2,,5e0cda95-8451-400b-99f0-5cd03979ce93,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,a07c2d3b-82b0-44e0-9bad-0243542aa63a,Appropriate Dress,5.3,,5e0cda95-8451-400b-99f0-5cd03979ce93,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,cf2e8743-17d1-42b5-9b56-cab1240f16f7,Eye and Ear Protection,5.4,,5e0cda95-8451-400b-99f0-5cd03979ce93,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,2e092429-16c6-4ee4-b9b6-ab40966e8d62,Ammunition and Related Equipment,5.5,,5e0cda95-8451-400b-99f0-5cd03979ce93,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,cf829a96-9663-4624-a5b9-d177c806b3ce,Chronograph and Power Factors,5.6,,5e0cda95-8451-400b-99f0-5cd03979ce93,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,94bc500d-c528-483c-8763-834eaf4d7df1,Malfunctions � Competitor�s Equipment,5.7,,5e0cda95-8451-400b-99f0-5cd03979ce93,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,a0742109-24a4-4e35-913d-f6506a18f8ba,Official Match Ammunition,5.8,,5e0cda95-8451-400b-99f0-5cd03979ce93,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,ad61e3ce-d900-4cfc-ab17-263ed46deaaf,General Principles,6.1,The following definitions are used for clarity: ,59271ca0-0719-4d94-9252-28c5b053bacb,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,6939ec00-39cd-482f-b8b1-5901611a11ed,Match Divisions,6.2,,59271ca0-0719-4d94-9252-28c5b053bacb,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,6027f0d2-305f-4fb5-b3da-b32898d129e8,Match Categories,6.3,,59271ca0-0719-4d94-9252-28c5b053bacb,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,aae64ad9-7005-43ac-8ae3-cbfa3bb57540,Regional Teams,6.4,,59271ca0-0719-4d94-9252-28c5b053bacb,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,46c9b0a2-b832-4f77-9187-4056242980e0,Competitor Status and Credentials,6.5,,59271ca0-0719-4d94-9252-28c5b053bacb,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,2fd3d8fc-e325-4127-9a7a-fc8e99939fc1,Competitor Scheduling and Squadding,6.6,,59271ca0-0719-4d94-9252-28c5b053bacb,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,0abb9383-fbb1-4919-b14f-415c1e2f2f36,International Classification System ("ICS"),6.7,,59271ca0-0719-4d94-9252-28c5b053bacb,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,22d52030-7be0-418a-bf43-4dbfbd73f4bc,Match Officials,7.1,The duties and terms of reference of Match Officials are defined as follows: ,a60f3827-c3c8-4018-8059-e45221c0a1a5,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,fdeac260-65b2-4ee1-97c8-075976e3ad0d,Discipline of Match Officials,7.2,,a60f3827-c3c8-4018-8059-e45221c0a1a5,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,d85cdba1-d46f-4bac-afed-cdb0ece07f0a,Appointment of Officials,7.3,,a60f3827-c3c8-4018-8059-e45221c0a1a5,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,42d3cdbb-cfe5-4ab0-a142-6528b4ddb075,Firearm Ready Conditions,8.1,The ready condition for firearms will normally be as stated below. However~ in the event that a competitor fails to load the chamber when permitted by the written stage briefing~ whether inadvertently or intentionally~ the Range Officer must not take any action~ as the competitor is always responsible for the handling of the firearm. ,5b702d6a-0ad4-4c45-8c35-8dde21080dd6,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,5dc56569-efbe-43c4-a124-f56f04bb0863,Competitor Ready Condition,8.2,This designates when~ under the direct command of a Range Officer: ,5b702d6a-0ad4-4c45-8c35-8dde21080dd6,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,cd529555-11e3-4de3-9ca7-6cc42f5e764f,Range Communication,8.3,The approved range commands and their sequence are as follows: ,5b702d6a-0ad4-4c45-8c35-8dde21080dd6,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,0c333f11-65fc-46a5-97ec-5eda55b5a4fc,Loading~ Reloading or Unloading During a Course of Fire,8.4,,5b702d6a-0ad4-4c45-8c35-8dde21080dd6,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,bd24b40d-dab3-4fff-9e57-5977c6f93a72,Movement,8.5,,5b702d6a-0ad4-4c45-8c35-8dde21080dd6,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,827e27ba-a656-4759-861b-69d911e12097,Assistance or Interference,8.6,,5b702d6a-0ad4-4c45-8c35-8dde21080dd6,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,79b66531-5585-4903-9a7d-824266a5e18e,Sight Pictures~ Dry Firing and Course Inspection,8.7,,5b702d6a-0ad4-4c45-8c35-8dde21080dd6,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,391c9a9d-a558-49b3-bb11-674e59ab1764,General Regulations,9.1,,5231d906-bc73-452c-a752-0a5a7f168391,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,05a5fe3b-44ba-4981-a126-6ce09af0986f,Scoring Method,9.2,,5231d906-bc73-452c-a752-0a5a7f168391,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,44592802-ff75-4aee-a934-5bcd90468dac,Scoring Ties,9.3,,5231d906-bc73-452c-a752-0a5a7f168391,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,a02e0b90-72df-4936-addf-cca4aa044653,Target Scoring and Penalty Values,9.4,,5231d906-bc73-452c-a752-0a5a7f168391,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,e4de5b07-7b64-42a0-af78-86fd3422be05,Target Scoring Policy,9.5,,5231d906-bc73-452c-a752-0a5a7f168391,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,90056e87-34c1-49c6-9e80-bf8d44ad9c1b,Score Verification and Challenge,9.6,,5231d906-bc73-452c-a752-0a5a7f168391,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,c0cd81b5-50ee-44ec-8520-304503de6f7c,Score Sheets,9.7,,5231d906-bc73-452c-a752-0a5a7f168391,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,846dad39-8e5d-493b-aa12-9ebc89fd4e46,Scoring Responsibility,9.8,,5231d906-bc73-452c-a752-0a5a7f168391,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,5bc33ad7-685c-4cc0-bb80-66f0c9c0ba56,Scoring of Disappearing Targets,9.9,,5231d906-bc73-452c-a752-0a5a7f168391,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,44952302-5842-44ab-bfaf-db7d1f6edc5b,Official Time,9.10,,5231d906-bc73-452c-a752-0a5a7f168391,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,996dce35-afe8-41a8-93ae-52dc5b96e421,Scoring Programs,9.11,9.11.1 ,5231d906-bc73-452c-a752-0a5a7f168391,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,4291150d-3a7a-4841-968b-b484d2e1f0d0,Procedural Penalties � General Regulations,10.1,,e436aa69-4e8b-4c95-996c-2b13d2f07730,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,721044fb-63be-49e5-a685-457bdcbdcd6a,Procedural Penalties � Specific Examples,10.2,,e436aa69-4e8b-4c95-996c-2b13d2f07730,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,cb40417a-5471-4d2a-9236-1ce9d3d65bff,Disqualification � General Regulations,10.3,,e436aa69-4e8b-4c95-996c-2b13d2f07730,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,0b82448b-042b-4308-84be-6fcd75cd8f15,Disqualification � Accidental Discharge,10.4,A competitor who causes an accidental discharge must be stopped by a Range Officer as soon as possible. An accidental discharge is defined as follows: ,e436aa69-4e8b-4c95-996c-2b13d2f07730,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,3d4d0481-9800-4ecf-89e6-76e9b90f23b2,Disqualification � Unsafe Gun Handling,10.5,Examples of unsafe gun handling include~ but are not limited to: ,e436aa69-4e8b-4c95-996c-2b13d2f07730,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,bb5c6694-5742-4e4c-ad78-137ebbadd3c4,Disqualification � Unsportsmanlike Conduct,10.6,,e436aa69-4e8b-4c95-996c-2b13d2f07730,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,a8257835-d706-4f08-bacb-129747d17145,Disqualification � Prohibited Substances,10.7,,e436aa69-4e8b-4c95-996c-2b13d2f07730,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,263250a2-43ab-4600-a7fb-6d368960e941,General Principles,11.1,,904a9cb0-c18c-467d-9f25-e6e1c11239de,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,a751b072-34ae-4c26-b0c9-b41ed3fbd0f1,Composition of Committee,11.2,,904a9cb0-c18c-467d-9f25-e6e1c11239de,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,7a73f076-457a-46ea-9049-b8cfeb68b103,Time Limits and Sequences,11.3,,904a9cb0-c18c-467d-9f25-e6e1c11239de,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,d11f0883-c264-4fd1-b84f-8fe7f1c7d2ed,Fees,11.4,,904a9cb0-c18c-467d-9f25-e6e1c11239de,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,4b483f34-a1fc-40c5-b779-b3ff2f8f59aa,Rules of Procedure,11.5,,904a9cb0-c18c-467d-9f25-e6e1c11239de,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,fd45642f-c0c9-4937-a024-9601ba08bff0,Verdict and Subsequent Action,11.6,,904a9cb0-c18c-467d-9f25-e6e1c11239de,cdb32d12-3aa3-48cf-8c61-35e79ed20813
SECTION,a1319e25-274a-4b3f-8abb-286140b0bb34,Third Party Appeals,11.7,,904a9cb0-c18c-467d-9f25-e6e1c11239de,cdb32d12-3aa3-48cf-8c61-35e79ed20813
