2d8681bf-584e-42dd-bc8f-dba9d7895447,Aftermarket,Items not manufactured by the OFM~ and/or bearing identifying marks of a different OFM. 
7361b40b-b62f-4507-922f-8c342cab84b2,Aim / Aiming,Aligning the barrel of a firearm at targets. 
b734f631-44c2-456b-bf46-a4f7db99ac78,Attempt at (COF),The period from issuance of the Start Signal to when the competitor indicates that he has finished shooting~ in response to Rule 8.3.6. 
78e2aff2-be21-4868-a3b2-bd381b93ef1e,Barricade Stop ,A device fitted to a firearm~ the primary purpose of which is to increase stability on a barricade or another prop while firing shots. 
8d370311-f4c8-4298-a246-8f2d45264593,Berm ,A raised structure of sand~ soil or other materials used to contain bullets and/or to separate one shooting bay and/or COF from another. 
6730f17c-b190-418c-ad3e-f1674f965761,Bullet ,The projectile in a round intended to strike a target. 
0e878d7d-b7e1-401d-bcfb-5f86e928bb05,Caliber ,The diameter of a bullet measured in millimeters (or thousandths of an inch). 
cd0e529b-3ec6-4916-adcf-a94f45237afc,Cartridge case ,The main body of a round~ which contains all component parts. 
cf2d1b3a-b21e-49cd-9802-29519c15834b,Chamber Safety Flag ,A brightly colored device~ no part of which resembles a round or any part thereof. The flag must be incapable of being inserted into a firearm which has a loaded chamber and must~ while fitted~ prevent a round from being inserted into the chamber. The flag must have an integral tab or ribbon clearly protruding from the firearm. 
da36789a-dbaa-4937-902e-d3b0816371b1,Compensator,A device fitted to the muzzle end of a barrel to counter muzzle rise (usually by diverting away escaping gasses). 
e33c4cdc-dd86-42d4-9048-551d60e295c6,Detonation ,Ignition of the primer of a round~ other than by action of a firing pin~ where the bullet does not pass through the barrel (e.g. when the action of a firearm is being manually retracted~ when a round is dropped). 
f5b76bbb-87f1-488b-9212-fbdd884349c6,Discharge,See Shot. 
eb1c4625-d78d-4f80-a296-09ce31522030,Downrange,The general area of a stage~ shooting bay or range~ where the muzzle of a firearm may be safely pointed during a course of fire and/or where bullets are intended or are likely to impact. 
5833aed8-d2a7-4e97-abdb-03c4cc47bdae,Dryfiring ,The activation of the trigger and/or action of a firearm which is totally devoid of ammunition. 
ac150329-1a6c-4d76-a7f7-bd2a1d85aaa2,Dummy Ammunition,Includes practice or training rounds~ blanks~ snap caps and empty cases. 
df9d1940-9feb-40fa-8cef-fe600b5215a8,Engage ,Firing a shot at a target. Firing a shot at~ but missing~ a target is not a "failure to engage". The malfunction of a firearm or a round which prevents a shot being fired~ is deemed to be a "failure to engage". 
29faf05a-833e-42b2-85d5-344f9f78c65b,Face,~ (facing) uprange ........The competitor�s face~ chest and toes are all facing uprange. 
