DISCIPLINE,3700a212-379c-481f-8f83-411e39ef933e,Rifle
CHAPTER,0997cc5b-cd44-4538-8e8f-ceecb847e225,Course Design,1,The following general principles of course design list the criteria~ responsibilities and restrictions governing Course Designers as the architects of the sport of IPSC shooting. ,3700a212-379c-481f-8f83-411e39ef933e
CHAPTER,3364ea61-7afa-47d4-8a74-097dcda9782d,Range and Course Construction,2,The following general regulations of course construction list the criteria~ responsibilities and restrictions applicable to courses of fire in IPSC matches. Course Designers~ host organizations and officials are governed by these regulations. ,3700a212-379c-481f-8f83-411e39ef933e
CHAPTER,1510b2a4-c144-4b89-8738-99db16ed0645,Course Information,3,,3700a212-379c-481f-8f83-411e39ef933e
CHAPTER,ed8f1157-49a5-4818-a070-d0382b5295fd,Range Equipment,4,,3700a212-379c-481f-8f83-411e39ef933e
CHAPTER,66f3c913-adfa-4e0a-8b9d-34acc3fdaaed,Competitor Equipment,5,,3700a212-379c-481f-8f83-411e39ef933e
CHAPTER,a78afaff-fb32-4bd0-b4ca-adc0d4337ffb,Match Structure,6,,3700a212-379c-481f-8f83-411e39ef933e
CHAPTER,bcd268aa-65a3-48c4-96ba-b7bd784767d8,Match Management,7,,3700a212-379c-481f-8f83-411e39ef933e
CHAPTER,71474aaf-f746-4dc2-9bce-f2a68650bf00,The Course of Fire,8,,3700a212-379c-481f-8f83-411e39ef933e
CHAPTER,37751464-065d-44d3-b43b-5f0c09f3e5be,Scoring,9,,3700a212-379c-481f-8f83-411e39ef933e
CHAPTER,6e8abd5c-7085-46cf-8413-964c5c31da97,Penalties and Disqualifications,10,,3700a212-379c-481f-8f83-411e39ef933e
CHAPTER,59a57a35-9fb6-40f7-98fe-a7c57fdbfc87,Arbitration and Interpretation of Rules,11,,3700a212-379c-481f-8f83-411e39ef933e
CHAPTER,2b864bac-666b-40d4-972d-c115293937cb,Miscellaneous Matters,12,,3700a212-379c-481f-8f83-411e39ef933e
SECTION,68e53802-2b77-4675-8e00-c8190c07b0d0,General Principles,1.1,,0997cc5b-cd44-4538-8e8f-ceecb847e225,3700a212-379c-481f-8f83-411e39ef933e
SECTION,348c708b-4b73-4e43-a873-343262a050ed,Types of Courses,1.2,IPSC matches may contain the following types of courses of fire: ,0997cc5b-cd44-4538-8e8f-ceecb847e225,3700a212-379c-481f-8f83-411e39ef933e
SECTION,a881c9f9-f1f4-44ee-bb1b-3cc6e18f9f5e,IPSC Sanctioning,1.3,,0997cc5b-cd44-4538-8e8f-ceecb847e225,3700a212-379c-481f-8f83-411e39ef933e
SECTION,f9a2d1f5-0672-4ba3-ba16-a0b56ffb10d4,General Regulations,2.1,,3364ea61-7afa-47d4-8a74-097dcda9782d,3700a212-379c-481f-8f83-411e39ef933e
SECTION,e66f1db4-25dd-42ce-ba3f-8a5e7d9cff4b,Course Construction Criteria,2.2,During the construction of a course of fire~ a variety of physical barriers may be used to restrict competitor movement and to provide additional competitive challenges as follows: ,3364ea61-7afa-47d4-8a74-097dcda9782d,3700a212-379c-481f-8f83-411e39ef933e
SECTION,5b72de77-be7b-4a29-bd33-0c882b50b0a5,Modifications to Course Construction,2.3,,3364ea61-7afa-47d4-8a74-097dcda9782d,3700a212-379c-481f-8f83-411e39ef933e
SECTION,4cc18b16-b897-4771-85de-50cb5ee46f4a,Safety Areas,2.4,,3364ea61-7afa-47d4-8a74-097dcda9782d,3700a212-379c-481f-8f83-411e39ef933e
SECTION,b11cc33f-c0be-46ad-b165-85fca1b139a1,Test Firing / Sighting-In Bay,2.5,,3364ea61-7afa-47d4-8a74-097dcda9782d,3700a212-379c-481f-8f83-411e39ef933e
SECTION,357e4c0f-56e7-4da3-93b3-6fff3c3c6a78,Vendor Areas,2.6,,3364ea61-7afa-47d4-8a74-097dcda9782d,3700a212-379c-481f-8f83-411e39ef933e
SECTION,9cfa89ba-098c-448c-8e09-aae7b6676c9a,Hygiene Areas,2.7,,3364ea61-7afa-47d4-8a74-097dcda9782d,3700a212-379c-481f-8f83-411e39ef933e
SECTION,da105f85-5e3f-4d6f-895c-83478acfe389,General Regulations,3.1,The competitor is always responsible to safely fulfill the requirements of a course of fire but can only reasonably be expected to do so after verbally or physically receiving the written stage briefing~ which must adequately explain the requirements to the competitors. Course information can be broadly divided into the following types: ,1510b2a4-c144-4b89-8738-99db16ed0645,3700a212-379c-481f-8f83-411e39ef933e
SECTION,4f3b67ce-29b1-4ced-8daa-8c0d49f88c25,Written Stage Briefings,3.2,,1510b2a4-c144-4b89-8738-99db16ed0645,3700a212-379c-481f-8f83-411e39ef933e
