DISCIPLINE,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0,Shotgun
CHAPTER,a522ef74-8f0a-4b4b-bc96-c2686648c948,Course Design,1,The following general principles of course design list the criteria~ responsibilities and restrictions governing Course Designers as the architects of the sport of IPSC shooting. ,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
CHAPTER,d7eadec7-988c-41ea-bcd8-12eeba5062f9,Range and Course Construction,2,The following general regulations of course construction list the criteria~ responsibilities and restrictions applicable to courses of fire in IPSC matches. Course Designers~ host organizations and officials are governed by these regulations. ,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
CHAPTER,4ee10809-42e9-44a7-b336-7aea1ea4ba68,Course Information,3,,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
CHAPTER,3525567f-1076-4514-ba19-f0b78c2c7650,Range Equipment,4,,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
CHAPTER,36e03673-8c72-4467-bdbd-fc2fd11f90d1,Competitor Equipment,5,,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
CHAPTER,22167b43-a0ec-4636-8d27-4fd082140bd8,Match Structure,6,,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
CHAPTER,92cfdc12-6b8c-42f9-a5ab-5e0132d330e0,Match Management,7,,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
CHAPTER,052d3107-1381-4ebc-9e5e-5fb45ed6074f,The Course of Fire,8,,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
CHAPTER,e59f5405-335f-4249-88ad-2ead96add2fd,Scoring,9,,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
CHAPTER,634b991c-2597-4d52-a8bf-e91540544366,Penalties and Disqualifications,10,,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
CHAPTER,54a6c27c-06c4-44a2-b503-64735c7fcebe,Arbitration and Interpretation of Rules,11,,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
CHAPTER,766fcc57-a446-4f58-ac29-3c60c90b27aa,Miscellaneous Matters,12,,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,df6f1a81-a995-447b-b797-5d1cc9317057,General Principles,1.1,,a522ef74-8f0a-4b4b-bc96-c2686648c948,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,fec5b6cd-4565-4be9-aa2c-d59150c6afc1,Types of Courses,1.2,IPSC matches may contain the following types of courses of fire: ,a522ef74-8f0a-4b4b-bc96-c2686648c948,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,caf9311d-c6af-4976-b92d-d9f3cf70e467,IPSC Sanctioning,1.3,,a522ef74-8f0a-4b4b-bc96-c2686648c948,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,df37020b-e5b7-47a8-b8db-1e1ebbddaead,General Regulations,2.1,,d7eadec7-988c-41ea-bcd8-12eeba5062f9,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,d474741b-6a00-4fe7-9eb1-fa682869dd80,Course Construction Criteria,2.2,During the construction of a course of fire~ a variety of physical barriers may be used to restrict competitor movement and to provide additional competitive challenges as follows: ,d7eadec7-988c-41ea-bcd8-12eeba5062f9,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,7f59865f-51a5-4402-98f7-294874a2e138,Modifications to Course Construction,2.3,,d7eadec7-988c-41ea-bcd8-12eeba5062f9,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,c9c40a16-201d-4e93-bc50-3b9b12eb17cf,Safety Areas,2.4,,d7eadec7-988c-41ea-bcd8-12eeba5062f9,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,3f715602-f7de-4f3f-b16a-ecf375e200e6,Test Firing / Sighting-In Bay,2.5,,d7eadec7-988c-41ea-bcd8-12eeba5062f9,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,01684068-9f1d-4d1c-ba05-55bbb5899027,Vendor Areas,2.6,,d7eadec7-988c-41ea-bcd8-12eeba5062f9,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
SECTION,1c1da947-feb1-47ad-aa42-dee9b04abbec,Hygiene Areas,2.7,,d7eadec7-988c-41ea-bcd8-12eeba5062f9,8311ab58-4f7b-4c5d-bc50-37c01e9eb1f0
